current_path,current_name,session_name,class_folder,gtsrb_class_id,original_name,original_relpath,gtsrb_split,track_id,frame_id,name_prefix,assigned_split,md5
Data/ahead_only/train_ahead_only_0/train_ahead_only_0.png,train_ahead_only_0.png,train_ahead_only_0,ahead_only,35,00000_00000.ppm,GTSRB/Final_Training/Images/00035/00000_00000.ppm,train,00035_00000,00000,train,train,baaffe238dacf624d97a7db98adff70a
Data/ahead_only/valid_ahead_only_0/valid_ahead_only_0.png,valid_ahead_only_0.png,valid_ahead_only_0,ahead_only,35,00000_00001.ppm,GTSRB/Final_Training/Images/00035/00000_00001.ppm,train,00035_00000,00001,valid,train,f4bf9ef84cc693cb2f8286146b4b96ed
Data/ahead_only/train_ahead_only_1/train_ahead_only_1.png,train_ahead_only_1.png,train_ahead_only_1,ahead_only,35,00000_00002.ppm,GTSRB/Final_Training/Images/00035/00000_00002.ppm,train,00035_00000,00002,train,train,63f7b70f00e3cf9bc98f4e07b597d9fd
Data/ahead_only/train_ahead_only_2/train_ahead_only_2.png,train_ahead_only_2.png,train_ahead_only_2,ahead_only,35,00000_00003.ppm,GTSRB/Final_Training/Images/00035/00000_00003.ppm,train,00035_00000,00003,train,train,73b4678bc1172622fb6099fa7d78940a
Data/ahead_only/train_ahead_only_3/train_ahead_only_3.png,train_ahead_only_3.png,train_ahead_only_3,ahead_only,35,00000_00004.ppm,GTSRB/Final_Training/Images/00035/00000_00004.ppm,train,00035_00000,00004,train,train,83fd14be56ab76a468f2579b9a3a40a4
Data/ahead_only/train_ahead_only_4/train_ahead_only_4.png,train_ahead_only_4.png,train_ahead_only_4,ahead_only,35,00000_00005.ppm,GTSRB/Final_Training/Images/00035/00000_00005.ppm,train,00035_00000,00005,train,train,dc1bbfce3467462ecb4cf0635a450d27
Data/ahead_only/train_ahead_only_5/train_ahead_only_5.png,train_ahead_only_5.png,train_ahead_only_5,ahead_only,35,00000_00006.ppm,GTSRB/Final_Training/Images/00035/00000_00006.ppm,train,00035_00000,00006,train,train,b489d94cccb4708e5b95f206ecc2cb3c
Data/ahead_only/valid_ahead_only_1/valid_ahead_only_1.png,valid_ahead_only_1.png,valid_ahead_only_1,ahead_only,35,00000_00007.ppm,GTSRB/Final_Training/Images/00035/00000_00007.ppm,train,00035_00000,00007,valid,train,e64eef21e677ecf13e2f9830253c5309
Data/ahead_only/train_ahead_only_6/train_ahead_only_6.png,train_ahead_only_6.png,train_ahead_only_6,ahead_only,35,00000_00008.ppm,GTSRB/Final_Training/Images/00035/00000_00008.ppm,train,00035_00000,00008,train,train,96bb19ccce83acc6192c1617d36226ec
Data/ahead_only/train_ahead_only_7/train_ahead_only_7.png,train_ahead_only_7.png,train_ahead_only_7,ahead_only,35,00000_00009.ppm,GTSRB/Final_Training/Images/00035/00000_00009.ppm,train,00035_00000,00009,train,train,226f583beb5822e8fbcd3b76995aa33c
