current_path,current_name,dataset_folder,original_name,md5
Data/pcb_dataset1/pcb_dataset1_1/pcb_dataset1_1.jpg,pcb_dataset1_1.jpg,pcb_dataset1,01_missing_hole_04_jpg.rf.8b37ad4100c23a10bebfa46222d94443.jpg,37811f125ddcce44b39cfd0fbbad7529
Data/pcb_dataset1/pcb_dataset1_10/pcb_dataset1_10.jpg,pcb_dataset1_10.jpg,pcb_dataset1,01_open_circuit_11_jpg.rf.be16f560a6b50ef5bde7952a40759430.jpg,f5b677720ec8f388a5ef1e6f4b932d0d
Data/pcb_dataset1/pcb_dataset1_100/pcb_dataset1_100.jpg,pcb_dataset1_100.jpg,pcb_dataset1,04_missing_hole_02_jpg.rf.d64c7327fa018736dfb3796df151aa4c.jpg,927347eec466784728d241864200793a
Data/pcb_dataset1/pcb_dataset1_101/pcb_dataset1_101.jpg,pcb_dataset1_101.jpg,pcb_dataset1,04_missing_hole_03_jpg.rf.f4f0e71af6b6b7332bb59eddb8b2bd92.jpg,0a56486e621ecb8e8489beef8e713300
Data/pcb_dataset1/pcb_dataset1_102/pcb_dataset1_102.jpg,pcb_dataset1_102.jpg,pcb_dataset1,04_missing_hole_04_jpg.rf.548c311285f5091d6609390111f81837.jpg,283401bce845640012ba5c89b8cd02ab
Data/pcb_dataset1/pcb_dataset1_103/pcb_dataset1_103.jpg,pcb_dataset1_103.jpg,pcb_dataset1,04_missing_hole_05_jpg.rf.7cd4a241211037328edc64781e54dbc0.jpg,9254a38c27b79517c273a7e91da50d4a
Data/pcb_dataset1/pcb_dataset1_104/pcb_dataset1_104.jpg,pcb_dataset1_104.jpg,pcb_dataset1,04_missing_hole_06_jpg.rf.359a730c11c7fdacf8479d7be701873f.jpg,6eccaeaa3390d888cafd1f1adc08f312
Data/pcb_dataset1/pcb_dataset1_105/pcb_dataset1_105.jpg,pcb_dataset1_105.jpg,pcb_dataset1,04_missing_hole_07_jpg.rf.e70473677334d718307c71ee34e9bddd.jpg,bcb1af2cf45c7f21587e839a0e46e0ac
Data/pcb_dataset1/pcb_dataset1_106/pcb_dataset1_106.jpg,pcb_dataset1_106.jpg,pcb_dataset1,04_missing_hole_08_jpg.rf.cf17f69cd641fac3818f51d6e11b9e8b.jpg,6f8197e73c12e73d2cc68cfc9a33085d
Data/pcb_dataset1/pcb_dataset1_107/pcb_dataset1_107.jpg,pcb_dataset1_107.jpg,pcb_dataset1,04_missing_hole_09_jpg.rf.af093d56b9f535b8ae63b6025a6ec3a7.jpg,4acaa17b40a4a1927b34e4e79cfe4136
Data/pcb_dataset1/pcb_dataset1_108/pcb_dataset1_108.jpg,pcb_dataset1_108.jpg,pcb_dataset1,04_missing_hole_10_jpg.rf.ecdbe911b4a6f8175c785fdd8e4bbdb5.jpg,f0d7f16467b246369eef39f0af5a4dce
Data/pcb_dataset1/pcb_dataset1_109/pcb_dataset1_109.jpg,pcb_dataset1_109.jpg,pcb_dataset1,04_missing_hole_11_jpg.rf.add64b69d6469eb70dd59e733d5e909e.jpg,460efd81b1fdfbe05c6d547af2bf545b
Data/pcb_dataset1/pcb_dataset1_11/pcb_dataset1_11.jpg,pcb_dataset1_11.jpg,pcb_dataset1,01_open_circuit_12_jpg.rf.15889ea4591e3d252236c141a93ab234.jpg,3e1cf29b8fa9e1eb10782a9d1cb6ccb9
Data/pcb_dataset1/pcb_dataset1_110/pcb_dataset1_110.jpg,pcb_dataset1_110.jpg,pcb_dataset1,04_missing_hole_12_jpg.rf.efc433a4e696b6db6cc9879fba6d8266.jpg,253b777231b04f75545811a7ae22d3d7
Data/pcb_dataset1/pcb_dataset1_111/pcb_dataset1_111.jpg,pcb_dataset1_111.jpg,pcb_dataset1,04_missing_hole_13_jpg.rf.923091e8b9c1c94c5aa0cbc9a875981d.jpg,3531ad3a70016856dbe561fe259b4af3
Data/pcb_dataset1/pcb_dataset1_112/pcb_dataset1_112.jpg,pcb_dataset1_112.jpg,pcb_dataset1,04_missing_hole_14_jpg.rf.5205463300f32305ad38ae860cfc57fa.jpg,43530d7f35c6d9a718e89bd7ebe82289
Data/pcb_dataset1/pcb_dataset1_113/pcb_dataset1_113.jpg,pcb_dataset1_113.jpg,pcb_dataset1,04_missing_hole_16_jpg.rf.de132f4debec8cb8278f9720ed9921a3.jpg,57ebf5577659756e18369f6f1131b033
Data/pcb_dataset1/pcb_dataset1_114/pcb_dataset1_114.jpg,pcb_dataset1_114.jpg,pcb_dataset1,04_missing_hole_18_jpg.rf.d4a23f93f3abc9606dedb97344640feb.jpg,868247e1aa71fc838fcd8ccc2b613cae
Data/pcb_dataset1/pcb_dataset1_115/pcb_dataset1_115.jpg,pcb_dataset1_115.jpg,pcb_dataset1,04_missing_hole_19_jpg.rf.c8044111a5e5ab4112a329b26a45488d.jpg,07f900d3d35125cfd6a6ad59eb82e7cd
Data/pcb_dataset1/pcb_dataset1_116/pcb_dataset1_116.jpg,pcb_dataset1_116.jpg,pcb_dataset1,04_missing_hole_20_jpg.rf.52c48c454334dc237a1a9119b03f4381.jpg,7e6bd237b95e60bb6cfd1acf548a24f7
Data/pcb_dataset1/pcb_dataset1_117/pcb_dataset1_117.jpg,pcb_dataset1_117.jpg,pcb_dataset1,04_mouse_bite_01_jpg.rf.f94fac49070610c63120bfd8cf161cab.jpg,bb48ce9ecb3827b27292d3c12901f62b
